job no,job title,institution,URL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
31,Business Director,capitalOne,https://www.capitalonecareers.com/job/new-york/business-director/1732/10877503,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,2,0,5,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
32,Sr. Business Analyst - Pricing & Economics,capitalOne,https://www.capitalonecareers.com/job/mclean/sr-business-analyst-pricing-and-economics/1732/10877504,0,0,3,0,3,1,0,0,0,7,0,0,0,0,0,1,0,0,0,3,5,0,0,0,1,0,0,0,0,0,3,5,0,0,0,1,0,1,9,0,0,1,0,0,2,0,0,3,0,5,0,2,0,0,1,0,0,0,0,0,1,11,0,0,0,3,4,0,0,0,0,0,0,0,17,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
33,"Director, SRE Product Manager",capitalOne,https://www.capitalonecareers.com/job/new-york/director-sre-product-manager/1732/10877509,0,0,4,0,0,3,0,0,2,10,0,0,1,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,2,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,8,0,0,0,10,18
34,"Manager, Product Management Intelligent Automation",capitalOne,https://www.capitalonecareers.com/job/richmond/manager-product-management-intelligent-automation/1732/10517663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Associate Software Engineer,capitalOne,https://www.capitalonecareers.com/job/richmond/associate-software-engineer/1732/10870368,0,0,4,0,0,2,0,0,0,1,0,0,2,0,1,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2
36,Principal Software Engineer - iOS Mobile Engineer,capitalOne,https://www.capitalonecareers.com/job/seattle/principal-software-engineer-ios-mobile-engineer/1732/10870369,0,0,3,2,0,2,0,0,0,1,0,0,0,0,1,1,2,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
37,Senior Software Engineer,capitalOne,https://www.capitalonecareers.com/job/plano/senior-software-engineer/1732/10870361,0,0,3,3,0,2,0,0,0,2,0,1,0,0,1,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,2,0,3,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
38,Sr. Manager - Credit Review Chief of Staff Group,capitalOne,https://www.capitalonecareers.com/job/new-york/sr-manager-credit-review-chief-of-staff-group/1732/10870362,0,0,3,1,1,1,0,0,0,1,0,0,0,0,1,4,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,2,0,3,0,0,2,0,3,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,10
39,DevOps Engineer,capitalOne,https://www.capitalonecareers.com/job/richmond/devops-engineer/1732/10870363,0,0,4,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,Sr. Manager Software Engineering,capitalOne,https://www.capitalonecareers.com/job/san-francisco/sr-manager-software-engineering/1732/10870364,0,0,4,3,0,1,0,0,0,1,0,0,0,0,2,1,2,5,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,4,2,0,0,0,1,3
